	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12	Sample_13	Sample_14	Sample_15	Sample_16	Sample_17	Sample_18
cell line	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1	control	control	CERT	CERT	Sec14L1	Sec14L1
tet	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus	minus	plus
"SM 32:0;2"	0,006725531	0,007372525	0,006964374	0,011522582	0,010050439	0,005769544	0,007543931	0,00594799	0,008246799	0,020623149	0,006455361	0,005185706	0,006228778	0,008053023	0,006338895	0,020086324	0,00408347	0,001937189
"SM 34:2;2"	0,146540746	0,162831819	0,155614056	0,153304291	0,164996912	0,161956603	0,152042863	0,15844418	0,155754361	0,15275009	0,151276122	0,159693476	0,181367098	0,158731592	0,166250967	0,168075965	0,169470049	0,163218962
"SM 34:1;2"	1,603708911	1,742670924	1,562910732	1,60144881	1,839368745	1,766192532	1,64838572	1,788174475	1,582265834	1,764054094	1,692006528	1,73413905	1,792716108	1,713184771	1,6041373	1,803636375	1,787796494	2,0406941
"SM 34:0;2"	0,311287899	0,342689728	0,349299455	0,513373164	0,347209558	0,3179702	0,31403106	0,326796511	0,330607927	0,584115919	0,30667936	0,31779551	0,363020774	0,345354758	0,340242694	0,607168554	0,345418749	0,38040018
"SM 36:2;2"	0,058157835	0,063325438	0,060175875	0,05456522	0,060956243	0,06319836	0,051987118	0,056557134	0,053184471	0,050601913	0,053438243	0,054260995	0,063123011	0,055430542	0,05371159	0,051472863	0,060907422	0,02738946
"SM 36:1;2"	0,174265092	0,183258641	0,160289321	0,172628334	0,1988902	0,1875797	0,167886257	0,175502336	0,162894403	0,19376919	0,174904518	0,179899681	0,176926331	0,163857357	0,159561872	0,192467071	0,182157977	0,204232392
"SM 36:0;2"	0,010604759	0,008352328	0,023176902	0,035296016	0,02021801	0,008936389	0,009906489	0,007550606	0,019536456	0,05765176	0,013168359	0,010056547	0,003834336	0,012012615	0,01349665	0,058953134	0,012274361	0,005078045
"SM 38:2;2"	0,00045857	0,000604996	0,000474685	0,000498117	0,001011646	0,000294717	0,001057958	0,000131593	0,000379102	0,001046772	0,000353633	0,00324243	0	0,000608747	0,00023802	0	0,000623443	0
"SM 38:1;2"	0,010988221	0,015181944	0,010482609	0,014783337	0,021694065	0,017405027	0,013944399	0,010531885	0,012960988	0,026466067	0,0156409	0,017108782	0,007139555	0,014847488	0,006967388	0,025789486	0,018517992	0,008861789
"SM 40:3;2"	0	0	0	0	0	0	0	0	0,000425662	0	0	0	0	0,000746816	0	0	0	0
"SM 40:2;2"	0,086046663	0,092333343	0,084928258	0,102719903	0,095062349	0,095497059	0,08866948	0,095678446	0,086300121	0,10418933	0,093920768	0,098372803	0,102843403	0,099306804	0,087493642	0,112138983	0,103578721	0,082041836
"SM 40:1;2"	0,192121992	0,210476372	0,184015088	0,252682779	0,237270528	0,232383795	0,205567029	0,21939391	0,186680174	0,27308619	0,219781473	0,220422803	0,242741746	0,223825001	0,196519363	0,295101014	0,248993629	0,280002399
"SM 42:3;2"	0,297668482	0,315418945	0,271604957	0,328573498	0,295485741	0,309931899	0,305654777	0,31588317	0,27047469	0,309798217	0,273894357	0,290764286	0,344921495	0,327073861	0,278398843	0,324451475	0,309998653	0,337431477
